,importance,stddev,p_value,n,p99_high,p99_low
ATSC1p,0.0023844229556471883,0.0013852148078723398,0.04824546441612601,3,0.01032185741637164,-0.005553011505077263
nG12FAHRing,0.0023652034280461733,0.0016310721540789927,0.06431757947317665,3,0.011711427746569197,-0.006981020890476851
nG12FHRing,0.0023562666933748533,0.0018318376682459727,0.07786496539926129,3,0.012852899671708358,-0.008140366284958652
AATSC0i,0.0023203123298699926,0.0012999079254881972,0.045311394776213584,3,0.009768928894536217,-0.005128304234796231
AATS6s,0.0023164638682258523,0.0016737058702094066,0.06935409788793986,3,0.011906984107987307,-0.007274056371535604
AATSC7Z,0.0023027234196680477,0.007415411977037932,0.3222593892753364,3,0.044793856370676864,-0.040188409531340764
MATS3s,0.002288765068695094,0.0038437108213185576,0.2053832172183518,3,0.02431365431822231,-0.019736124180832124
AMID_N,0.0022818877601407475,0.0007121282208396771,0.015482193331516481,3,0.006362461436095973,-0.001798685915814479
MID_C,0.0022512816092119157,0.0011333598111542861,0.037544317227880666,3,0.008745559009605724,-0.004242995791181894
SMR_VSA3,0.002220245275458684,0.0014667402270252794,0.05993597086462618,3,0.010624829428586068,-0.006184338877668699
NaasN,0.0021689814253597803,0.00021259988897331716,0.001593613459244173,3,0.003387202365168358,0.0009507604855512027
ATSC4i,0.0020732974686279437,0.001839423245317275,0.09507806566035343,3,0.012613396644772831,-0.008466801707516944
MATS5se,0.002070360914954087,0.0018418188596249492,0.09545745601238463,3,0.012624187226740517,-0.008483465396832344
GATS8dv,0.0020699989151144274,0.0008894598344400732,0.02819470458970505,3,0.007166702401961321,-0.0030267045717324663
MATS2c,0.0020526030382121605,0.00071729416420263,0.019189188371586768,3,0.006162778142507756,-0.0020575720660834357
ATSC1Z,0.002043151004956334,0.0045580963361214815,0.2593813480154493,3,0.028161548475167893,-0.024075246465255225
BIC1,0.0020422921734335464,0.00247434823079934,0.14453764226883803,3,0.01622058192558097,-0.01213599757871388
PEOE_VSA7,0.0020301489937936124,0.0002926617567220105,0.0034279986540088304,3,0.0037071333141601376,0.0003531646734270871
AATS8se,0.00202479703119988,0.0005728405798148872,0.012828743256249647,3,0.005307237077959111,-0.0012576430155593508
NsOH,0.0020096528462443253,0.0018373709747183222,0.09932799901657517,3,0.012537992284273302,-0.008518686591784652
AATSC0s,0.0019667168056536712,0.0030329451354542797,0.18904221834881707,3,0.01934582876635978,-0.015412395155052437
AATSC7dv,0.0018945968027619757,0.002148655076703043,0.13313059321767778,3,0.014206628664613852,-0.010417435059089902
nFARing,0.0018850732196066626,0.0005632150517545008,0.014245123010792466,3,0.005112357923169315,-0.0013422114839559895
Xc-4dv,0.0018822610714263794,0.0007878418535745947,0.02686712661087066,3,0.006396682259118685,-0.0026321601162659263
SpMAD_Dzi,0.0018234793516005432,0.001551643036178679,0.08937897449668077,3,0.010714566016364818,-0.007067607313163731
nAcid,0.0018093126398908883,0.002093650937205895,0.13655996719267854,3,0.013806164682810746,-0.010187539403028969
SsOH,0.0017838128944552833,0.0022734038216181574,0.15354861391256874,3,0.014810668898522518,-0.011243043109611951
AATSC0m,0.0017735268521857177,0.001855464341056712,0.1198229821012049,3,0.012405543285774276,-0.008858489581402841
AATSC2i,0.0017650124911220793,0.00029091889179824575,0.004467310278253676,3,0.0034320100022026665,9.801498004149197e-05
ATSC1m,0.001725751828004422,0.0030307059561323203,0.21398569054522903,3,0.01909203304288479,-0.015640529386875945
SIC1,0.0017078260383976602,0.0026359458640580436,0.18920474280103994,3,0.016812088149279328,-0.013396436072484006
ATSC3s,0.0017057152076025799,0.0030443909375997696,0.21709918452455573,3,0.019150412883869865,-0.015738982468664703
MID_N,0.0016969141982316287,0.0013242258661193141,0.07832368275455556,3,0.009284875259420927,-0.005891046862957669
n5Ring,0.001692611793457958,0.0010562763491060655,0.05449857371512222,3,0.007745192408244001,-0.004359968821328084
MINsCH3,0.001685276596764947,0.0030971418287740653,0.22271755253340475,3,0.019432242729203228,-0.016061689535673336
GATS1c,0.0016504149097970415,0.0001657697511763591,0.0016729736083190981,3,0.002600293966861101,0.000700535852732982
n10FRing,0.0016414595297858197,0.001451773008929696,0.09464504894727142,3,0.009960279863455093,-0.006677360803883454
GATS3i,0.0016399588816429223,0.0008833499443364951,0.04230857067504357,3,0.0067016520206479024,-0.003421734257362058
ETA_dPsi_A,0.0016194337437911432,0.002102802922183817,0.15692485609003992,3,0.013668727675532106,-0.01042986018794982
AATSC2c,0.0016082357402410856,0.0012795826687230997,0.0807093047005513,3,0.008940386329700073,-0.005723914849217901
AATSC1m,0.0016081572572636722,0.0025204446649460103,0.1921309077600778,3,0.016050584688876345,-0.012834270174348999
AATSC1s,0.0016062077024601902,0.0009654006784643271,0.05113794174273139,3,0.007138060646928362,-0.003925645242007982
AXp-0d,0.001595440264733461,0.0007136654439308456,0.03034439534720006,3,0.005684822399469462,-0.00249394187000254
GATS4pe,0.0015930389504126286,0.0022735043659142594,0.17437844614414505,3,0.014620471084446257,-0.011434393183621
nC,0.0015693573374967833,0.0010500836208100538,0.06121411455517406,3,0.0075864529324120335,-0.0044477382574184664
GATS1v,0.0015617595060078242,0.0004480972322457148,0.013180245478679513,3,0.004129406337942479,-0.001005887325926831
MATS2p,0.001551958777327685,0.0003808497597934387,0.009744366584154354,3,0.0037342701347887614,-0.0006303525801333915
bpol,0.0015485187318402538,0.000989376535415712,0.056695806873052874,3,0.007217755995411706,-0.004120718531731199
